Date,Price
,ZS=F
2023-01-03,1487.25
2023-01-04,1478.25
2023-01-05,1466.75
2023-01-06,1501.5
2023-01-09,1503.5
2023-01-10,1510.0
2023-01-11,1515.0
2023-01-12,1529.5
2023-01-13,1538.25
2023-01-17,1539.75
2023-01-18,1524.5
2023-01-19,1514.75
2023-01-20,1506.5
2023-01-23,1490.25
2023-01-24,1488.5
2023-01-25,1502.5
2023-01-26,1523.5
2023-01-27,1509.5
2023-01-30,1535.25
2023-01-31,1538.0
2023-02-01,1520.25
2023-02-02,1534.25
2023-02-03,1532.0
2023-02-06,1521.25
2023-02-07,1515.25
2023-02-08,1519.75
2023-02-09,1519.25
2023-02-10,1542.5
2023-02-13,1542.75
2023-02-14,1537.5
2023-02-15,1525.75
2023-02-16,1526.5
2023-02-17,1527.25
2023-02-21,1548.75
2023-02-22,1539.5
2023-02-23,1534.25
2023-02-24,1529.0
2023-02-27,1518.25
2023-02-28,1490.5
2023-03-01,1504.25
2023-03-02,1519.75
2023-03-03,1530.5
2023-03-06,1541.0
2023-03-07,1525.25
2023-03-08,1526.75
2023-03-09,1520.0
2023-03-10,1513.0
2023-03-13,1500.0
2023-03-14,1499.75
2023-03-15,1489.25
2023-03-16,1491.5
2023-03-17,1476.5
2023-03-20,1486.0
2023-03-21,1467.0
2023-03-22,1448.5
2023-03-23,1419.5
2023-03-24,1428.25
2023-03-27,1442.25
2023-03-28,1467.75
2023-03-29,1477.25
2023-03-30,1474.5
2023-03-31,1505.5
2023-04-03,1522.0
2023-04-04,1517.5
2023-04-05,1511.0
2023-04-06,1492.5
2023-04-10,1487.25
2023-04-11,1497.25
2023-04-12,1504.25
2023-04-13,1501.0
2023-04-14,1500.5
2023-04-17,1517.0
2023-04-18,1519.25
2023-04-19,1506.5
2023-04-20,1497.5
2023-04-21,1483.5
2023-04-24,1465.25
2023-04-25,1445.25
2023-04-26,1436.0
2023-04-27,1426.75
2023-04-28,1444.25
2023-05-01,1454.75
2023-05-02,1439.5
2023-05-03,1448.0
2023-05-04,1448.5
2023-05-05,1469.0
2023-05-08,1468.75
2023-05-09,1451.75
2023-05-10,1436.5
2023-05-11,1443.25
2023-05-12,1435.0
2023-05-15,1400.75
2023-05-16,1364.0
2023-05-17,1337.0
2023-05-18,1333.25
2023-05-19,1307.25
2023-05-22,1341.25
2023-05-23,1322.5
2023-05-24,1324.5
2023-05-25,1324.0
2023-05-26,1337.25
2023-05-30,1296.5
2023-05-31,1299.75
2023-06-01,1329.5
2023-06-02,1352.5
2023-06-05,1350.0
2023-06-06,1353.25
2023-06-07,1360.75
2023-06-08,1363.25
2023-06-09,1386.5
2023-06-12,1372.75
2023-06-13,1399.25
2023-06-14,1388.25
2023-06-15,1428.25
2023-06-16,1466.5
2023-06-20,1477.25
2023-06-21,1514.75
2023-06-22,1500.5
2023-06-23,1494.5
2023-06-26,1521.0
2023-06-27,1495.0
2023-06-28,1451.0
2023-06-29,1483.0
2023-06-30,1557.25
2023-07-03,1562.0
2023-07-05,1547.25
2023-07-06,1525.75
2023-07-07,1485.5
2023-07-10,1508.0
2023-07-11,1520.5
2023-07-12,1488.5
2023-07-13,1518.0
2023-07-14,1495.75
2023-07-17,1484.0
2023-07-18,1492.0
2023-07-19,1491.5
2023-07-20,1495.0
2023-07-21,1501.0
2023-07-24,1523.25
2023-07-25,1515.5
